hand:239A8(HandType.HIGH_C). bid:171    value:145880.   hand_rank:1
hand:98A72(HandType.HIGH_C). bid:640    value:626034.   hand_rank:76
hand:9K354(HandType.HIGH_C). bid:730    value:639828.   hand_rank:77
hand:9A85K(HandType.HIGH_C). bid:37     value:645212.   hand_rank:78
hand:T3269(HandType.HIGH_C). bid:575    value:668265.   hand_rank:79
hand:T3785(HandType.HIGH_C). bid:343    value:669573.   hand_rank:80
hand:T46KQ(HandType.HIGH_C). bid:444    value:673483.   hand_rank:81
hand:T4QA9(HandType.HIGH_C). bid:775    value:674777.   hand_rank:82
hand:T4K68(HandType.HIGH_C). bid:102    value:674920.   hand_rank:83
hand:T543Q(HandType.HIGH_C). bid:532    value:676923.   hand_rank:84
hand:T642K(HandType.HIGH_C). bid:473    value:681004.   hand_rank:85
hand:T658Q(HandType.HIGH_C). bid:228    value:681355.   hand_rank:86
hand:T8297(HandType.HIGH_C). bid:839    value:688791.   hand_rank:87
hand:TQ968(HandType.HIGH_C). bid:620    value:702824.   hand_rank:88
hand:TK723(HandType.HIGH_C). bid:703    value:706339.   hand_rank:89
hand:Q2KT9(HandType.HIGH_C). bid:151    value:732329.   hand_rank:90
hand:Q2KA9(HandType.HIGH_C). bid:55     value:732377.   hand_rank:91
hand:Q38A2(HandType.HIGH_C). bid:350    value:735442.   hand_rank:92
hand:Q49T6(HandType.HIGH_C). bid:113    value:739750.   hand_rank:93
hand:Q56TK(HandType.HIGH_C). bid:128    value:743084.   hand_rank:94
hand:Q5963(HandType.HIGH_C). bid:726    value:743779.   hand_rank:95
hand:Q65T9(HandType.HIGH_C). bid:604    value:746921.   hand_rank:96
hand:Q6A82(HandType.HIGH_C). bid:98     value:748930.   hand_rank:97
hand:Q84TA(HandType.HIGH_C). bid:174    value:754861.   hand_rank:98
hand:QTK53(HandType.HIGH_C). bid:54     value:765011.   hand_rank:99
hand:QTK82(HandType.HIGH_C). bid:181    value:765058.   hand_rank:100
hand:QA632(HandType.HIGH_C). bid:124    value:775730.   hand_rank:101
hand:QAT62(HandType.HIGH_C). bid:39     value:776802.   hand_rank:102
hand:K3574(HandType.HIGH_C). bid:205    value:800116.   hand_rank:103
hand:K53A8(HandType.HIGH_C). bid:42     value:807896.   hand_rank:104
hand:K59A7(HandType.HIGH_C). bid:155    value:809431.   hand_rank:105
hand:K63AQ(HandType.HIGH_C). bid:774    value:811995.   hand_rank:106
hand:K6T82(HandType.HIGH_C). bid:758    value:813698.   hand_rank:107
hand:K7A32(HandType.HIGH_C). bid:162    value:818482.   hand_rank:108
hand:K8236(HandType.HIGH_C). bid:826    value:819766.   hand_rank:109
hand:K85T6(HandType.HIGH_C). bid:958    value:820646.   hand_rank:110
hand:K86A7(HandType.HIGH_C). bid:299    value:820951.   hand_rank:111
hand:K9782(HandType.HIGH_C). bid:391    value:825218.   hand_rank:112
hand:KT582(HandType.HIGH_C). bid:616    value:828802.   hand_rank:113
hand:KT8Q3(HandType.HIGH_C). bid:597    value:829619.   hand_rank:114
hand:KA572(HandType.HIGH_C). bid:33     value:841074.   hand_rank:115
hand:KA843(HandType.HIGH_C). bid:334    value:841795.   hand_rank:116
hand:KA96T(HandType.HIGH_C). bid:941    value:842090.   hand_rank:117
hand:A3T74(HandType.HIGH_C). bid:383    value:866932.   hand_rank:118
hand:A3Q94(HandType.HIGH_C). bid:855    value:867220.   hand_rank:119
hand:A5496(HandType.HIGH_C). bid:348    value:873622.   hand_rank:120
hand:A5K32(HandType.HIGH_C). bid:398    value:875570.   hand_rank:121
hand:A643T(HandType.HIGH_C). bid:648    value:877626.   hand_rank:122
hand:A7248(HandType.HIGH_C). bid:380    value:881224.   hand_rank:123
hand:A9K84(HandType.HIGH_C). bid:790    value:892036.   hand_rank:124
hand:AQ876(HandType.HIGH_C). bid:741    value:899190.   hand_rank:125
hand:AK79T(HandType.HIGH_C). bid:964    value:903066.   hand_rank:126
hand:AKT36(HandType.HIGH_C). bid:137    value:903734.   hand_rank:127
hand:J246K(HandType.PAIRx1). bid:639    value:74860.    hand_rank:128
hand:J28K9(HandType.PAIRx1). bid:406    value:75977.    hand_rank:129
hand:J2KA3(HandType.PAIRx1). bid:492    value:77011.    hand_rank:130
hand:J34AK(HandType.PAIRx1). bid:94     value:79068.    hand_rank:131
hand:J354A(HandType.PAIRx1). bid:910    value:79181.    hand_rank:132
hand:J3T74(HandType.PAIRx1). bid:566    value:80500.    hand_rank:133
hand:J4385(HandType.PAIRx1). bid:990    value:82821.    hand_rank:134
hand:J6K97(HandType.PAIRx1). bid:288    value:93335.    hand_rank:135
hand:J6A5K(HandType.PAIRx1). bid:591    value:93532.    hand_rank:136
hand:J7283(HandType.PAIRx1). bid:502    value:94851.    hand_rank:137
hand:J73TA(HandType.PAIRx1). bid:119    value:95149.    hand_rank:138
hand:J7A95(HandType.PAIRx1). bid:506    value:97685.    hand_rank:139
hand:J8279(HandType.PAIRx1). bid:658    value:98937.    hand_rank:140
hand:J84T6(HandType.PAIRx1). bid:242    value:99494.    hand_rank:141
hand:J863T(HandType.PAIRx1). bid:302    value:99898.    hand_rank:142
hand:J985A(HandType.PAIRx1). bid:443    value:104541.   hand_rank:143
hand:JT325(HandType.PAIRx1). bid:93     value:107301.   hand_rank:144
hand:JT839(HandType.PAIRx1). bid:127    value:108601.   hand_rank:145
hand:JTK86(HandType.PAIRx1). bid:580    value:109702.   hand_rank:146
hand:2J496(HandType.PAIRx1). bid:52     value:136342.   hand_rank:147
hand:2J97T(HandType.PAIRx1). bid:497    value:137594.   hand_rank:148
hand:22439(HandType.PAIRx1). bid:154    value:140345.   hand_rank:149
hand:22835(HandType.PAIRx1). bid:670    value:141365.   hand_rank:150
hand:24JT3(HandType.PAIRx1). bid:993    value:147875.   hand_rank:151
hand:25QKK(HandType.PAIRx1). bid:798    value:154572.   hand_rank:152
hand:274J6(HandType.PAIRx1). bid:496    value:160790.   hand_rank:153
hand:28499(HandType.PAIRx1). bid:861    value:165017.   hand_rank:154
hand:285AA(HandType.PAIRx1). bid:36     value:165341.   hand_rank:155
hand:28Q8A(HandType.PAIRx1). bid:872    value:166797.   hand_rank:156
hand:28A85(HandType.PAIRx1). bid:456    value:167301.   hand_rank:157
hand:293J7(HandType.PAIRx1). bid:289    value:168727.   hand_rank:158
hand:2Q2A7(HandType.PAIRx1). bid:364    value:176855.   hand_rank:159
hand:2K6A6(HandType.PAIRx1). bid:753    value:181974.   hand_rank:160
hand:2KKQ4(HandType.PAIRx1). bid:69     value:183476.   hand_rank:161
hand:2A53J(HandType.PAIRx1). bid:785    value:185649.   hand_rank:162
hand:2A779(HandType.PAIRx1). bid:41     value:186233.   hand_rank:163
hand:34J2A(HandType.PAIRx1). bid:177    value:213293.   hand_rank:164
hand:34J96(HandType.PAIRx1). bid:471    value:213398.   hand_rank:165
hand:345KJ(HandType.PAIRx1). bid:923    value:214465.   hand_rank:166
hand:34626(HandType.PAIRx1). bid:787    value:214566.   hand_rank:167
hand:34AQ3(HandType.PAIRx1). bid:488    value:216499.   hand_rank:168
hand:3544T(HandType.PAIRx1). bid:121    value:218186.   hand_rank:169
hand:356QQ(HandType.PAIRx1). bid:11     value:218811.   hand_rank:170
hand:366K9(HandType.PAIRx1). bid:968    value:222921.   hand_rank:171
hand:3Q26Q(HandType.PAIRx1). bid:209    value:242283.   hand_rank:172
hand:3Q943(HandType.PAIRx1). bid:317    value:244035.   hand_rank:173
hand:3K9T9(HandType.PAIRx1). bid:750    value:248233.   hand_rank:174
hand:3AK34(HandType.PAIRx1). bid:522    value:252980.   hand_rank:175
hand:4J562(HandType.PAIRx1). bid:204    value:267618.   hand_rank:176
hand:4J5T8(HandType.PAIRx1). bid:900    value:267688.   hand_rank:177
hand:4J8QT(HandType.PAIRx1). bid:442    value:268474.   hand_rank:178
hand:4JAT9(HandType.PAIRx1). bid:961    value:269737.   hand_rank:179
hand:4272Q(HandType.PAIRx1). bid:529    value:272171.   hand_rank:180
hand:43245(HandType.PAIRx1). bid:864    value:275013.   hand_rank:181
hand:434A6(HandType.PAIRx1). bid:920    value:275670.   hand_rank:182
hand:43AKA(HandType.PAIRx1). bid:231    value:277965.   hand_rank:183
hand:449T3(HandType.PAIRx1). bid:531    value:280995.   hand_rank:184
hand:463J2(HandType.PAIRx1). bid:316    value:287506.   hand_rank:185
hand:47T48(HandType.PAIRx1). bid:135    value:293448.   hand_rank:186
hand:486Q4(HandType.PAIRx1). bid:911    value:296628.   hand_rank:187
hand:49J2T(HandType.PAIRx1). bid:883    value:299306.   hand_rank:188
hand:49266(HandType.PAIRx1). bid:756    value:299622.   hand_rank:189
hand:49366(HandType.PAIRx1). bid:681    value:299878.   hand_rank:190
hand:4T797(HandType.PAIRx1). bid:927    value:305047.   hand_rank:191
hand:4K43T(HandType.PAIRx1). bid:199    value:312378.   hand_rank:192
hand:4K84Q(HandType.PAIRx1). bid:335    value:313419.   hand_rank:193
hand:4AQ84(HandType.PAIRx1). bid:379    value:318340.   hand_rank:194
hand:5J387(HandType.PAIRx1). bid:115    value:332679.   hand_rank:195
hand:5224Q(HandType.PAIRx1). bid:942    value:336459.   hand_rank:196
hand:52AT2(HandType.PAIRx1). bid:999    value:339362.   hand_rank:197
hand:54TJ3(HandType.PAIRx1). bid:707    value:346643.   hand_rank:198
hand:572K7(HandType.PAIRx1). bid:360    value:357063.   hand_rank:199
hand:5778A(HandType.PAIRx1). bid:906    value:358285.   hand_rank:200
hand:58365(HandType.PAIRx1). bid:936    value:361317.   hand_rank:201
hand:5988Q(HandType.PAIRx1). bid:198    value:366731.   hand_rank:202
hand:5T53K(HandType.PAIRx1). bid:510    value:369980.   hand_rank:203
hand:5T586(HandType.PAIRx1). bid:193    value:370054.   hand_rank:204
hand:5T6AA(HandType.PAIRx1). bid:795    value:370397.   hand_rank:205
hand:5Q495(HandType.PAIRx1). bid:938    value:373909.   hand_rank:206
hand:5Q776(HandType.PAIRx1). bid:190    value:374646.   hand_rank:207
hand:5K2J9(HandType.PAIRx1). bid:511    value:377369.   hand_rank:208
hand:5K5Q7(HandType.PAIRx1). bid:344    value:378295.   hand_rank:209
hand:5AJT4(HandType.PAIRx1). bid:586    value:381348.   hand_rank:210
hand:6J495(HandType.PAIRx1). bid:21     value:398485.   hand_rank:211
hand:62679(HandType.PAIRx1). bid:251    value:403065.   hand_rank:212
hand:62AA7(HandType.PAIRx1). bid:557    value:404951.   hand_rank:213
hand:637J9(HandType.PAIRx1). bid:860    value:407321.   hand_rank:214
hand:63TJA(HandType.PAIRx1). bid:734    value:408093.   hand_rank:215
hand:63K64(HandType.PAIRx1). bid:692    value:408676.   hand_rank:216
hand:65JK3(HandType.PAIRx1). bid:674    value:414147.   hand_rank:217
hand:66AK4(HandType.PAIRx1). bid:678    value:421316.   hand_rank:218
hand:6758J(HandType.PAIRx1). bid:762    value:423297.   hand_rank:219
hand:67875(HandType.PAIRx1). bid:214    value:424053.   hand_rank:220
hand:67885(HandType.PAIRx1). bid:526    value:424069.   hand_rank:221
hand:6844T(HandType.PAIRx1). bid:980    value:427082.   hand_rank:222
hand:68QJ5(HandType.PAIRx1). bid:645    value:428821.   hand_rank:223
hand:69486(HandType.PAIRx1). bid:563    value:431238.   hand_rank:224
hand:69652(HandType.PAIRx1). bid:887    value:431698.   hand_rank:225
hand:69T8T(HandType.PAIRx1). bid:408    value:432778.   hand_rank:226
hand:6Q836(HandType.PAIRx1). bid:547    value:440374.   hand_rank:227
hand:7JQ4A(HandType.PAIRx1). bid:686    value:465741.   hand_rank:228
hand:742AA(HandType.PAIRx1). bid:424    value:475869.   hand_rank:229
hand:76659(HandType.PAIRx1). bid:267    value:484953.   hand_rank:230
hand:78T2T(HandType.PAIRx1). bid:913    value:494122.   hand_rank:231
hand:7TTAK(HandType.PAIRx1). bid:811    value:502492.   hand_rank:232
hand:7TKQJ(HandType.PAIRx1). bid:614    value:502961.   hand_rank:233
hand:7Q782(HandType.PAIRx1). bid:669    value:505730.   hand_rank:234
hand:7Q873(HandType.PAIRx1). bid:291    value:505971.   hand_rank:235
hand:7KQ9Q(HandType.PAIRx1). bid:695    value:510875.   hand_rank:236
hand:7KK94(HandType.PAIRx1). bid:192    value:511124.   hand_rank:237
hand:8J456(HandType.PAIRx1). bid:629    value:529494.   hand_rank:238
hand:8J967(HandType.PAIRx1). bid:809    value:530791.   hand_rank:239
hand:82TAJ(HandType.PAIRx1). bid:341    value:535249.   hand_rank:240
hand:82A32(HandType.PAIRx1). bid:468    value:535858.   hand_rank:241
hand:835KJ(HandType.PAIRx1). bid:387    value:538049.   hand_rank:242
hand:846TT(HandType.PAIRx1). bid:779    value:542378.   hand_rank:243
hand:8823Q(HandType.PAIRx1). bid:590    value:557627.   hand_rank:244
hand:892JT(HandType.PAIRx1). bid:393    value:561690.   hand_rank:245
hand:8T699(HandType.PAIRx1). bid:984    value:566937.   hand_rank:246
hand:8Q35J(HandType.PAIRx1). bid:840    value:570193.   hand_rank:247
hand:8Q47Q(HandType.PAIRx1). bid:891    value:570491.   hand_rank:248
hand:92KJ6(HandType.PAIRx1). bid:441    value:601110.   hand_rank:249
hand:9329A(HandType.PAIRx1). bid:283    value:602781.   hand_rank:250
hand:93763(HandType.PAIRx1). bid:810    value:604003.   hand_rank:251
hand:94QJ5(HandType.PAIRx1). bid:254    value:609045.   hand_rank:252
hand:94KAK(HandType.PAIRx1). bid:812    value:609500.   hand_rank:253
hand:965QJ(HandType.PAIRx1). bid:110    value:615857.   hand_rank:254
hand:969AK(HandType.PAIRx1). bid:483    value:616924.   hand_rank:255
hand:96QT6(HandType.PAIRx1). bid:448    value:617382.   hand_rank:256
hand:99587(HandType.PAIRx1). bid:925    value:628103.   hand_rank:257
hand:9KQA9(HandType.PAIRx1). bid:357    value:642009.   hand_rank:258
hand:9KK27(HandType.PAIRx1). bid:40     value:642087.   hand_rank:259
hand:TJ45K(HandType.PAIRx1). bid:434    value:660572.   hand_rank:260
hand:TJ753(HandType.PAIRx1). bid:208    value:661331.   hand_rank:261
hand:TJ826(HandType.PAIRx1). bid:84     value:661542.   hand_rank:262
hand:TJ9KA(HandType.PAIRx1). bid:922    value:661965.   hand_rank:263
hand:TJKA7(HandType.PAIRx1). bid:213    value:662743.   hand_rank:264
hand:T3328(HandType.PAIRx1). bid:235    value:668456.   hand_rank:265
hand:T3Q7Q(HandType.PAIRx1). bid:983    value:670587.   hand_rank:266
hand:T3KJ6(HandType.PAIRx1). bid:50     value:670742.   hand_rank:267
hand:T5669(HandType.PAIRx1). bid:803    value:677481.   hand_rank:268
hand:T59J6(HandType.PAIRx1). bid:624    value:678166.   hand_rank:269
hand:T6687(HandType.PAIRx1). bid:945    value:681607.   hand_rank:270
hand:T6993(HandType.PAIRx1). bid:484    value:682387.   hand_rank:271
hand:TT36A(HandType.PAIRx1). bid:972    value:697197.   hand_rank:272
hand:TQ34Q(HandType.PAIRx1). bid:125    value:701259.   hand_rank:273
hand:TQA5T(HandType.PAIRx1). bid:577    value:703834.   hand_rank:274
hand:TKJ2A(HandType.PAIRx1). bid:902    value:704813.   hand_rank:275
hand:TA338(HandType.PAIRx1). bid:847    value:709432.   hand_rank:276
hand:TA5AK(HandType.PAIRx1). bid:2      value:710108.   hand_rank:277
hand:TA76J(HandType.PAIRx1). bid:665    value:710497.   hand_rank:278
hand:TAT54(HandType.PAIRx1). bid:399    value:711252.   hand_rank:279
hand:TAT84(HandType.PAIRx1). bid:988    value:711300.   hand_rank:280
hand:TAA69(HandType.PAIRx1). bid:226    value:712041.   hand_rank:281
hand:QJ352(HandType.PAIRx1). bid:253    value:725842.   hand_rank:282
hand:QJ524(HandType.PAIRx1). bid:196    value:726308.   hand_rank:283
hand:QJA2T(HandType.PAIRx1). bid:244    value:728362.   hand_rank:284
hand:Q33A5(HandType.PAIRx1). bid:806    value:734165.   hand_rank:285
hand:Q49T9(HandType.PAIRx1). bid:322    value:739753.   hand_rank:286
hand:Q4T9J(HandType.PAIRx1). bid:705    value:739985.   hand_rank:287
hand:Q5T4T(HandType.PAIRx1). bid:890    value:744010.   hand_rank:288
hand:Q642J(HandType.PAIRx1). bid:487    value:746529.   hand_rank:289
hand:Q6KJ5(HandType.PAIRx1). bid:499    value:748565.   hand_rank:290
hand:Q743J(HandType.PAIRx1). bid:560    value:750641.   hand_rank:291
hand:Q7Q54(HandType.PAIRx1). bid:515    value:752468.   hand_rank:292
hand:Q85KQ(HandType.PAIRx1). bid:436    value:755147.   hand_rank:293
hand:Q99T8(HandType.PAIRx1). bid:503    value:760232.   hand_rank:294
hand:Q99K7(HandType.PAIRx1). bid:100    value:760263.   hand_rank:295
hand:QT7TA(HandType.PAIRx1). bid:765    value:763821.   hand_rank:296
hand:QQ8KT(HandType.PAIRx1). bid:788    value:768202.   hand_rank:297
hand:QK3K2(HandType.PAIRx1). bid:652    value:771010.   hand_rank:298
hand:QK8TK(HandType.PAIRx1). bid:86     value:772268.   hand_rank:299
hand:QKAJ5(HandType.PAIRx1). bid:819    value:773397.   hand_rank:300
hand:QA6JT(HandType.PAIRx1). bid:520    value:775706.   hand_rank:301
hand:KJQT8(HandType.PAIRx1). bid:716    value:793512.   hand_rank:302
hand:K4JA7(HandType.PAIRx1). bid:834    value:803287.   hand_rank:303
hand:K492K(HandType.PAIRx1). bid:663    value:805164.   hand_rank:304
hand:K4Q6J(HandType.PAIRx1). bid:865    value:805729.   hand_rank:305
hand:K52JQ(HandType.PAIRx1). bid:281    value:807451.   hand_rank:306
hand:K54K3(HandType.PAIRx1). bid:595    value:808131.   hand_rank:307
hand:K55Q3(HandType.PAIRx1). bid:494    value:808371.   hand_rank:308
hand:K623K(HandType.PAIRx1). bid:617    value:811580.   hand_rank:309
hand:K66A3(HandType.PAIRx1). bid:261    value:812755.   hand_rank:310
hand:K68J5(HandType.PAIRx1). bid:689    value:813077.   hand_rank:311
hand:K68J7(HandType.PAIRx1). bid:569    value:813079.   hand_rank:312
hand:K7957(HandType.PAIRx1). bid:362    value:817495.   hand_rank:313
hand:K8ATT(HandType.PAIRx1). bid:63     value:822698.   hand_rank:314
hand:KTT5Q(HandType.PAIRx1). bid:173    value:830043.   hand_rank:315
hand:KTKA7(HandType.PAIRx1). bid:238    value:830679.   hand_rank:316
hand:KQ6AQ(HandType.PAIRx1). bid:373    value:833243.   hand_rank:317
hand:KQ79K(HandType.PAIRx1). bid:59     value:833436.   hand_rank:318
hand:KQ7AJ(HandType.PAIRx1). bid:206    value:833489.   hand_rank:319
hand:KQ955(HandType.PAIRx1). bid:433    value:833877.   hand_rank:320
hand:KK6AT(HandType.PAIRx1). bid:87     value:837338.   hand_rank:321
hand:A424Q(HandType.PAIRx1). bid:693    value:868939.   hand_rank:322
hand:A5465(HandType.PAIRx1). bid:176    value:873573.   hand_rank:323
hand:A57AT(HandType.PAIRx1). bid:724    value:874458.   hand_rank:324
hand:A5988(HandType.PAIRx1). bid:312    value:874888.   hand_rank:325
hand:A65KK(HandType.PAIRx1). bid:977    value:878028.   hand_rank:326
hand:A6QTA(HandType.PAIRx1). bid:877    value:879533.   hand_rank:327
hand:A6K8J(HandType.PAIRx1). bid:858    value:879745.   hand_rank:328
hand:A7378(HandType.PAIRx1). bid:817    value:881528.   hand_rank:329
hand:A759A(HandType.PAIRx1). bid:536    value:882077.   hand_rank:330
hand:A82KK(HandType.PAIRx1). bid:490    value:885452.   hand_rank:331
hand:A95QQ(HandType.PAIRx1). bid:66     value:890299.   hand_rank:332
hand:A9965(HandType.PAIRx1). bid:265    value:891237.   hand_rank:333
hand:AQJ48(HandType.PAIRx1). bid:576    value:897352.   hand_rank:334
hand:AQKK9(HandType.PAIRx1). bid:321    value:900297.   hand_rank:335
hand:AA254(HandType.PAIRx1). bid:227    value:905812.   hand_rank:336
hand:AA498(HandType.PAIRx1). bid:413    value:906392.   hand_rank:337
hand:AA4Q9(HandType.PAIRx1). bid:947    value:906425.   hand_rank:338
hand:AA7K6(HandType.PAIRx1). bid:74     value:907206.   hand_rank:339
hand:224T4(HandType.PAIRx2). bid:935    value:140452.   hand_rank:340
hand:22595(HandType.PAIRx2). bid:518    value:140693.   hand_rank:341
hand:22663(HandType.PAIRx2). bid:501    value:140899.   hand_rank:342
hand:24JJ6(HandType.PAIRx2). bid:816    value:147734.   hand_rank:343
hand:24J55(HandType.PAIRx2). bid:270    value:147797.   hand_rank:344
hand:24TT4(HandType.PAIRx2). bid:699    value:150180.   hand_rank:345
hand:25352(HandType.PAIRx2). bid:615    value:152402.   hand_rank:346
hand:28278(HandType.PAIRx2). bid:339    value:164472.   hand_rank:347
hand:28338(HandType.PAIRx2). bid:217    value:164664.   hand_rank:348
hand:2T24T(HandType.PAIRx2). bid:836    value:172618.   hand_rank:349
hand:2T32T(HandType.PAIRx2). bid:327    value:172842.   hand_rank:350
hand:2TT33(HandType.PAIRx2). bid:611    value:174643.   hand_rank:351
hand:2KAK2(HandType.PAIRx2). bid:828    value:183746.   hand_rank:352
hand:32434(HandType.PAIRx2). bid:107    value:205876.   hand_rank:353
hand:33585(HandType.PAIRx2). bid:460    value:210309.   hand_rank:354
hand:33886(HandType.PAIRx2). bid:530    value:211078.   hand_rank:355
hand:33K55(HandType.PAIRx2). bid:368    value:212053.   hand_rank:356
hand:34QJQ(HandType.PAIRx2). bid:481    value:215835.   hand_rank:357
hand:35232(HandType.PAIRx2). bid:14     value:217650.   hand_rank:358
hand:35375(HandType.PAIRx2). bid:340    value:217973.   hand_rank:359
hand:366Q3(HandType.PAIRx2). bid:985    value:222899.   hand_rank:360
hand:37232(HandType.PAIRx2). bid:929    value:225842.   hand_rank:361
hand:37399(HandType.PAIRx2). bid:423    value:226201.   hand_rank:362
hand:37838(HandType.PAIRx2). bid:168    value:227384.   hand_rank:363
hand:39369(HandType.PAIRx2). bid:122    value:234345.   hand_rank:364
hand:3Q8Q8(HandType.PAIRx2). bid:295    value:243896.   hand_rank:365
hand:3KKT3(HandType.PAIRx2). bid:262    value:248995.   hand_rank:366
hand:3A9A3(HandType.PAIRx2). bid:842    value:252371.   hand_rank:367
hand:44Q9Q(HandType.PAIRx2). bid:80     value:281499.   hand_rank:368
